
TestDistanceFromOrigin,1T 2T 3T 4T,1,2024-02-16 11:41:58.147,NaN,N/A,,3485,3485
TestSecondDigit5,1T 2T 3T 4T 5T 6T 7T 8T,1,2024-02-16 11:41:58.147,NaN,N/A,,0,0
TestEndsWithUpperCaseLetter,1T 2T 3T 4T 5T,1,2024-02-16 11:41:58.147,NaN,N/A,,0,0
TestPow,1T 2T 3T 4T 5T 6T 7T,1,2024-02-16 11:41:58.147,NaN,N/A,,0,0
TestFirstDifference,1T 2T 3T 4T 5T,1,2024-02-16 11:41:58.147,NaN,N/A,,0,0
TestMostCommonCharacter,1T 2T 3T 4T 5T,1,2024-02-16 11:41:58.147,NaN,N/A,,0,0
TestFirstDivisibleBy77,1T 2T 3T 4T,1,2024-02-16 11:41:58.147,NaN,N/A,,0,0
TestPowersOfTwo,1T 2T 3T 4T,1,2024-02-16 11:41:58.147,NaN,N/A,,0,0
TestMaxArray,1T 2T,1,2024-02-16 11:41:58.147,NaN,N/A,,0,0
TestTimesOccur,1T 2T 3T 4T 5T 6T 7T 8T 9T,1,2024-02-16 11:41:58.147,NaN,N/A,,0,0
TestDoubleDouble,1T 2T 3T 4T,1,2024-02-16 11:41:58.147,NaN,N/A,,0,0
TestThreeCharacterStrings,1T 2T 3T,1,2024-02-16 11:41:58.147,NaN,N/A,,0,0
TestDistanceFromOrigin,1T 2T 3T 4T,1,2024-02-16 11:46:04.629,NaN,N/A,,0,0
TestSecondDigit5,1T 2T 3T 4T 5T 6T 7T 8T,1,2024-02-16 11:46:04.629,NaN,N/A,,0,0
TestEndsWithUpperCaseLetter,1T 2T 3T 4T 5T,1,2024-02-16 11:46:04.629,NaN,N/A,,0,0
TestPow,1T 2T 3T 4T 5T 6T 7T,1,2024-02-16 11:46:04.629,NaN,N/A,,0,0
TestFirstDifference,1T 2T 3T 4T 5T,1,2024-02-16 11:46:04.629,NaN,N/A,,0,0
TestMostCommonCharacter,1T 2T 3T 4T 5T,1,2024-02-16 11:46:04.629,NaN,N/A,,0,0
TestFirstDivisibleBy77,1T 2T 3T 4T,1,2024-02-16 11:46:04.629,NaN,N/A,,0,0
TestPowersOfTwo,1T 2T 3T 4T,1,2024-02-16 11:46:04.629,NaN,N/A,,0,0
TestMaxArray,1T 2T,1,2024-02-16 11:46:04.629,NaN,N/A,,0,0
TestTimesOccur,1T 2T 3T 4T 5T 6T 7T 8T 9T,1,2024-02-16 11:46:04.629,NaN,N/A,,0,0
TestDoubleDouble,1T 2T 3T 4T,1,2024-02-16 11:46:04.629,NaN,N/A,,0,0
TestThreeCharacterStrings,1T 2T 3T,1,2024-02-16 11:46:04.629,NaN,N/A,,0,0
TestDistanceFromOrigin,1T 2T 3T 4T,1,2024-02-16 11:49:00.78,NaN,N/A,,0,0
TestSecondDigit5,1T 2T 3T 4T 5T 6T 7T 8T,1,2024-02-16 11:49:00.78,NaN,N/A,,0,0
TestEndsWithUpperCaseLetter,1T 2T 3T 4T 5T,1,2024-02-16 11:49:00.78,NaN,N/A,,0,0
TestPow,1T 2T 3T 4T 5T 6T 7T,1,2024-02-16 11:49:00.78,NaN,N/A,,0,0
TestFirstDifference,1T 2T 3T 4T 5T,1,2024-02-16 11:49:00.78,NaN,N/A,,0,0
TestMostCommonCharacter,1T 2T 3T 4T 5T,1,2024-02-16 11:49:00.78,NaN,N/A,,0,0
TestFirstDivisibleBy77,1T 2T 3T 4T,1,2024-02-16 11:49:00.78,NaN,N/A,,0,0
TestPowersOfTwo,1T 2T 3T 4T,1,2024-02-16 11:49:00.78,NaN,N/A,,0,0
TestMaxArray,1T 2T,1,2024-02-16 11:49:00.78,NaN,N/A,,0,0
TestTimesOccur,1T 2T 3T 4T 5T 6T 7T 8T 9T,1,2024-02-16 11:49:00.78,NaN,N/A,,0,0
TestDoubleDouble,1T 2T 3T 4T,1,2024-02-16 11:49:00.78,NaN,N/A,,0,0
TestThreeCharacterStrings,1T 2T 3T,1,2024-02-16 11:49:00.78,NaN,N/A,,0,0
TestDistanceFromOrigin,1T 2T 3T 4T,1,2024-02-16 11:49:05.776,NaN,N/A,,0,0
TestSecondDigit5,1T 2T 3T 4T 5T 6T 7T 8T,1,2024-02-16 11:49:05.776,NaN,N/A,,0,0
TestEndsWithUpperCaseLetter,1T 2T 3T 4T 5T,1,2024-02-16 11:49:05.776,NaN,N/A,,0,0
